"x","y"
0,2.25407242313652
0.1,6.36008883737332
0.2,2.9078785318669
0.3,2.53342160221468
0.4,8.21576914774309
0.5,2.90730000030282
0.6,5.2020353108227
0.7,4.73878728246646
0.8,6.91890155574717
0.9,3.55084096795303
1,1.49954105961809
1.1,3.62415135561402
1.2,6.24110614228739
1.3,0.741726080691379
1.4,6.58745886468408
1.5,3.45889607370353
1.6,1.86926298645423
1.7,5.92801451200095
1.8,2.61719162324015
1.9,2.41429234864161
2,3.39656120110351
2.1,-1.58028632549801
2.2,4.02372413607943
2.3,-1.17445508540185
2.4,0.0935317530071738
2.5,-1.5163088127037
2.6,2.02865344091906
2.7,-0.914266517176907
2.8,1.10028028752342
2.9,0.92845875435583
3,0.537341010298047
3.1,0.19831193087974
3.2,0.341217865188903
3.3,-3.35081425158503
3.4,-2.76406245830486
3.5,-1.75527005863227
3.6,-0.0535678721557957
3.7,-1.941663848962
3.8,-3.6055919405632
3.9,-0.41258419016045
4,-1.20645305074664
4.1,-2.41642571368969
4.2,-2.46923967969666
4.3,-2.18682933206564
4.4,-1.66453198971698
4.5,-1.6750988898074
4.6,0.00422223345293293
4.7,0.277061155132963
4.8,0.11471550713506
4.9,-2.71830716026401
5,-0.606008202115907
5.1,0.792609616896179
5.2,0.110693483078261
5.3,-0.111241340365941
5.4,0.853070924001159
5.5,1.72517088933781
5.6,1.7310841941222
5.7,2.03322247404602
5.8,1.61424630310122
5.9,-1.87526936528495
6,0.349039752400682
6.1,1.98444326470723
6.2,3.3010794376216
6.3,0.11073610371815
6.4,8.25418089125636
6.5,0.372927245181617
6.6,1.83103746324125
6.7,6.57593153940539
6.8,4.30407534254219
6.9,3.53778186555117
7,3.67586732392937
7.1,4.52777084878916
7.2,6.51422319784731
7.3,4.38944259086206
7.4,3.16351290072948
7.5,6.31309107622497
7.6,2.13729322520901
7.7,4.6590679013469
7.8,3.15129094908511
7.9,6.93751744398946
8,5.99028079677678
8.1,3.80623246710576
8.2,3.54324417373867
8.3,1.02369773133254
8.4,-0.171139795805932
8.5,3.19210234871364
8.6,-1.03428653165716
8.7,2.60359833890112
8.8,1.94441068201818
8.9,2.05188659082627
9,-0.368266953154761
9.1,-0.913226943935822
9.2,-0.708527680995728
9.3,1.45214999735638
9.4,-1.32166449405408
9.5,-0.108238972886908
9.6,0.138568463043899
9.7,-1.4487046639183
9.8,-1.47744623057328
9.9,-6.7470836674862
10,0.707296303031625
10.1,-0.714488815721078
10.2,-3.68530608838825
10.3,-0.778494470151912
10.4,-5.57110000846134
10.5,-1.09003556135636
10.6,-0.967081137919169
10.7,-0.875319728837059
10.8,-7.60194605171178
10.9,-3.73179561897264
11,-1.30777973650507
11.1,-3.35882382664058
11.2,-0.306179835412302
11.3,-1.03137778850194
11.4,-3.85882522734788
11.5,0.600615000896431
11.6,-2.43282981129888
11.7,-0.321783284732723
11.8,-2.65108131223993
11.9,-0.175672355418734
12,2.12795808763442
12.1,-0.690617747755767
12.2,0.0921870891111101
12.3,1.2546165172746
12.4,5.23076226905194
12.5,2.52523811995715
12.6,3.34184562632871
12.7,3.39866135818819
12.8,0.86995247472247
12.9,2.46557968544763
13,2.69184709772909
13.1,3.18289369883172
13.2,2.32524421357514
13.3,2.35900011890273
13.4,7.70033329759477
13.5,4.90331088700933
13.6,7.5231520051615
13.7,0.771218533634003
13.8,7.43609210477725
13.9,2.33815898928243
14,4.42577540950635
14.1,3.75687725425511
14.2,0.772873907946358
14.3,6.13575946924771
14.4,5.51063739255947
14.5,2.73900575345699
14.6,1.77528569155712
14.7,0.754170886642544
14.8,4.95811610590288
14.9,3.42777196719154
15,-0.0633892911445304
15.1,0.506539757994623
15.2,-1.1584087636302
15.3,-0.0886255123340539
15.4,-0.442010879631064
15.5,0.695810395623399
15.6,1.0417139418102
15.7,-2.2969438320043
15.8,-1.31009757821674
15.9,-3.57843143191215
16,-3.72321009640426
16.1,-1.72910381823735
16.2,-2.46892768176886
16.3,-5.38050967599645
16.4,-4.91030319341304
16.5,-2.06806112829415
16.6,-2.02783348915816
16.7,-6.23087659078947
16.8,-4.629705149024
16.9,-3.92719281294596
17,-2.77603220424432
17.1,-2.77119030724286
17.2,2.32230609425737
17.3,-4.19874125458298
17.4,-1.98484071294473
17.5,-1.0784621801721
17.6,0.271925674021928
17.7,1.84657948243414
17.8,-0.506595716578234
17.9,-1.02771978048965
18,-1.74322521817768
18.1,0.925184967574643
18.2,-1.81386454183497
18.3,0.12681875569973
18.4,6.12502260458507
18.5,1.68696425158875
18.6,2.92124643976354
18.7,0.247329446765177
18.8,1.64807250747876
18.9,1.23128907136705
19,2.56539892758172
19.1,3.5313869377102
19.2,4.79215443237007
19.3,3.53801561444552
19.4,5.2167272779089
19.5,6.56151499332054
19.6,4.32633783091209
19.7,5.87346326978954
19.8,3.308127640886
19.9,6.22478750223642
20,4.48967787813705
20.1,2.47139710785423
20.2,1.31758228864455
20.3,3.67693913825991
20.4,3.25301628975845
20.5,2.28357706280646
20.6,6.52296697703394
20.7,4.43809068602443
20.8,3.47538063352957
20.9,5.2992332972724
21,-0.249549070678636
21.1,3.3151933452076
21.2,2.71657306106628
21.3,3.35834944410079
21.4,3.90410113582501
21.5,1.15107686127859
21.6,-3.04043274409355
21.7,-0.858768114306739
21.8,-1.60089435986036
21.9,-1.26870786176585
22,-0.758863941085493
22.1,-5.26738489855902
22.2,-1.33954880112541
22.3,-0.714391237634103
22.4,-1.90283698925026
22.5,-2.65752173539353
22.6,-3.71873778489434
22.7,-2.60302026305856
22.8,-6.52707002865132
22.9,-3.80405474232869
23,-4.81072800542674
23.1,-4.01222715225845
23.2,-2.43463030943766
23.3,-3.18765773492232
23.4,2.84266591441901
23.5,1.38048823784933
23.6,2.07995793191976
23.7,-0.993059133729091
23.8,-2.86815427017774
23.9,3.19440225409574
24,0.248976654769726
24.1,-1.86607415933704
24.2,-3.66664384586771
24.3,2.81385144342997
24.4,-0.0022062581982159
24.5,-1.59292045836555
24.6,2.64007708041716
24.7,4.57894484255457
24.8,3.29618792062824
24.9,-1.00708818901594
25,5.92074241284187
25.1,0.229703583010139
25.2,-0.232197950323828
25.3,3.46168853119754
25.4,4.26249809939344
25.5,4.68276279961936
25.6,4.78820762293034
25.7,1.65316567015966
25.8,2.92453040869825
25.9,2.36817971914104
26,5.01673408170726
26.1,4.39648417836548
26.2,4.86979929861489
26.3,4.7264751870645
26.4,6.00843139931951
26.5,5.41504881097936
26.6,5.05839808766531
26.7,5.21564485574376
26.8,4.67924507799129
26.9,4.90544993159919
27,3.43707762049102
27.1,4.97896653743475
27.2,1.24599971756894
27.3,3.3032376425438
27.4,0.264996790366508
27.5,3.86383269366677
27.6,-1.02966503125872
27.7,2.17888788983841
27.8,-0.205003090574131
27.9,-3.78020519135787
28,-0.686068760860841
28.1,-0.0224330679233526
28.2,-1.27726676732855
28.3,-0.547766833892537
28.4,1.13352829800854
28.5,-2.26597583899702
28.6,0.98507219168382
28.7,-1.56832485734103
28.8,-3.20358022006985
28.9,-1.64457785650269
29,-3.70442416148397
29.1,-3.96647245204297
29.2,-3.24696334490368
29.3,-1.47104379663941
29.4,-2.26260021823337
29.5,0.34642174107854
29.6,0.58395074423449
29.7,-2.97480254117657
29.8,-3.09183239102102
29.9,-3.90226774358722
30,-3.72329891763781
30.1,-0.766342368941732
30.2,0.403616298772372
30.3,-5.33155434525771
30.4,-0.816346726313178
30.5,0.255282567307165
30.6,2.199848708032
30.7,-0.438552930255824
30.8,0.388432980066298
30.9,1.87342921982899
31,4.13141983330968
31.1,-0.915612314755463
31.2,2.12931057858498
31.3,2.37259026206385
31.4,4.5432318489495
